Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Description	Replication Sample Description	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	17q25.3	17	79831041	CBX4	CBX8 - CBX4	57332	8535		       33.93	        2.12	rs9747992-?	rs9747992	0	9747992	Intergenic	1	0.086	2E-7	6.698970004336019	(S-DCT concentration)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	5p13.3	5	31766326	PDZD2	PDZD2			23037			rs2059865-?	rs2059865	0	2059865	intron	0	0.235	3E-7	6.522878745280337	(S-DCT concentration)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	11p15.2	11	13107616	CTC-497E21.5	RASSF10 - ARNTL	644943	406		       95.51	      170.12	rs117020818-?	rs117020818	0	117020818	Intergenic	1	0.046	7E-7	6.154901959985743	(S-DCT concentration)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	10q23.33	10	94922089	CYP2C19,CYP2C9	CYP2C115P - CYP2C9	100874513	1559		       15.96	       16.50	rs1074145-?	rs1074145	0	1074145	Intergenic	1	0.162	4E-9	8.397940008672036	(S-CT concentration)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	10q23.33	10	94922089	CYP2C19,CYP2C9	CYP2C115P - CYP2C9	100874513	1559		       15.96	       16.50	rs1074145-?	rs1074145	0	1074145	Intergenic	1	0.162	2E-16	15.69897000433602	(S-DCT/S-CT ratio)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	20q12	20	39943772	HSPEP1	HSPE1P1 - MAFB	140895	9935		       10.53	      742.08	rs55734731-?	rs55734731	0	55734731	Intergenic	1	0.124	4E-7	6.397940008672037	(S-CT concentration, adjusted for CYP2C19)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	7q22.1	7	101642897	MYL10	MYL10 - CUX1	93408	1523		       13.60	      173.01	rs1722229-?	rs1722229	0	1722229	Intergenic	1	0.034	1E-6	5.999999999999999	(S-CT concentration, adjusted for CYP2C19)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	4q35.2	4	188269957	TRIML1	LOC102723950			102723950			rs71607999-?	rs71607999	0	71607999	intron	0	0.165	7E-9	8.154901959985743	(S-DCT/S-CT ratio, adjusted for CYP2C19)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	4p15.1	4	27962783	AC007106.1	IGBP1P5 - MIR4275	391642	100422937		      376.64	      856.80	rs11934750-?	rs11934750	0	11934750	Intergenic	1	0.160	1E-7	7	(S-DCT/S-CT ratio, adjusted for CYP2C19)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	12q23.3	12	104360722	EID3	EID3 - CHST11	493861	50515		       55.52	       96.19	rs77724872-?	rs77724872	0	77724872	Intergenic	1	0.047	7E-7	6.154901959985743	(S-DCT concentration, adjusted for CYP2C19)	NR	NR	Illumina [7,537,437] (Imputed)	N
